ModelNumber,ModelName,Round1Score,Round2Score,Round3Score,Round4Score,AvgScore
0,0-ResourceAgent-1482,420,465,420,405,427.5,
1,1-ResourceAgent-11994,465,520,390,420,448.75,
2,2-ResourceAgent-199486,530,405,525,390,462.5,
